Abandonment;A procedure by which a party gives up civil proceedings or an appeal.
Guardian;A person appointed by a parent or a court to act as the legal representative of the child in the event of the parent's death, or a person appointed by a court to act as guardian in relation to the property, financial affairs or personal welfare of a person with incapacity.
Haver;The person in possession of a document or property from whom a party to proceedings wishes to obtain it for the purposes of the proceedings.
Hearing;Any proceedings called before a judge.
Her Majesty's Advocate;The senior Law Officer responsible for the prosecution of crime and investigation of deaths and the principal legal adviser to the Scottish Government. Referred to as "Her Majesty's Advocate" in criminal matters and the "Lord Advocate" in civil matters.
Heritable estate/property;The term for property in the form of land and houses,as distinct from moveable property such as jewelry or an animal.
High Court of Justiciary;Usually referred to as "the High Court". Consists of two appellate courts (the Court of Criminal Appeal and the Justiciary Appeal Court) and a court of first instance (i.e. a court trying persons on indictment with a jury). The judges of the High Court are formally called Lords Commissioners of Justiciary. The judges of the court are also the judges of the Court of Session.
Ibidem (Ibid);In the same place.
In foro;As applied to a decree of the court signifies that it has been granted against a party for whom defences or answers have been lodged, as opposed to decree in absence.
In hoc statu;For the time being, at this stage.
In litem;In the case or action.
In meditatione fugae;About to leave the country.
Incapax;As applied to a person, signifies legal, mental, or physical incapacity. The term now used is "adult with incapacity".
In praesentia dominorum;In the presence of the Lords. Usually abbreviated to "IPD" after the signature of the chairman of the court where more than one judge of the court is sitting. The "Lords" refers to the Lords of Council and Session, or Lords Commissioners of Justiciary, i.e. the judges of the Supreme Courts, the senators of the College of Justice.
In retentis;Evidence taken to lie in retentis is evidence laid aside until the proper time arrives for putting it before a court.
Indictment;A document setting out the charge(s) of crimes or offences against an accused in more serious cases. It runs in the name of Her Majesty's Advocate (the public prosecutor). A case on indictment is tried by judge sitting with a jury in the High Court (in the most serious cases), or the sheriff court. Cases tried on indictment are known as solemn proceedings.
Inhibition;A procedure which prohibits a debtor from burdening his heritable property or parting with it, or part of it, to the detriment of a creditor.
Initial writ;The document by which civil proceedings in the sheriff court are normally initiated.
Inner House;The appellate division of the Court of Session (one of the Supreme Courts of Scotland). Originally so called on the historical and topographical ground that their courts lay further from the entrance to the court house than did the Outer House.
Insolvency;The state of being unable to pay one's debts.
Insolvency practitioner;An accountant or solicitor, qualified in terms of the Insolvency Act 1986 to act as liquidator or supervisor in relation to a company unable to payts debts, or as trustee or supervisor in relation to an individual unable to pay his or her debts.
Instance;The part of a summons, writ, or other document initiating proceedings in court in which the parties to the proceedings are identified and designed.
Interlocutor;A formal order made by a court containing its decision.
Intermediate diet;A hearing in summary criminal proceedings which allows the court to check whether the case is likely to proceed on the date assigned for trial. A purpose is to minimise inconvenience to witnesses etc. if the trial is adjourned.
Inter alia;Among other things.
Interdict;A judicial prohibition or court order preventing someone from doing something. In an emergency, interim interdict can be obtained in the absence of the person against whom the order is sought (i.e ex parte).
Interim;In the meantime. A temporary court order made until a final order is made.
Interrogatories;Written questions adjusted by the court, to be put to witnesses examined under a commission to take that witness's evidence instead of the witness coming to court.
Inter vivos;Between living persons.
Inventory of deceased's estate;A list of a deceased person's estate or property, heritable and moveable.
Inventory of process;A list of the documents in a court process.
Ipso facto;By that very fact.
Ipso jure;By the law itself.
Judge;The judicial office holder who presides over proceedings, i.e. a senator of the College of Justice (a Lord Commissioner of Justiciary in the High Court, a Lord Ordinary in the Court of Session or a sheriff). A judge is addressed as "My Lord" or "My Lady", as the case may be.
Judgment;(Not judgement.) The decision of a court setting out its reasons for the decision. In the High Court of Justiciary and the Court of Session it is called an "Opinion". In the Sheriff Court it is called a "Note" attached to the interlocutor.
Judicial Factor;Usually a solicitor or accountant appointed by the court in specific matters.
Judicial review;A remedy whereby the Court of Session may review and if necessary set aside or rectify the decision of public officials or bodies where no other form of appeal is available.
Jurisdiction;The power of a court to entertain particular cases as determined by factors such as location or district, or the value or type of the case, or the residence or domicile of a person.
Jury;A group of lay persons chosen to decide upon issues of fact in legal proceedings. In criminal proceedings, a jury has 15 jurors; in civil proceedings, a jury has 12 jurors.
Jus relictae/relicti;The right of a widow/widower to one third or one half, as the case may be, of her deceased husband's/his deceased wife's personal estate.
Justice of the Peace;A justice of the peace is a lay magistrate (ie. not a professional judge) who sits in the Justice of the Peace Court. A justice is addressed as "Your Honour".
Justiciary Appeal Court;The High Court of Justiciary sitting as an appellate court hearing appeals from trials heard in summary cases (cases heard on summary complaint).
Justice Clerk;Lord
Justice General;Lord See, Lord Justice General of Scotland.
Land Register;The register of interests in land under the Land Registration (Scotland) Act 1979 which supercedes the recording of deeds constituting or transferring rights in land under the Register of Sasines.
Legal rights;The rights of spouses, children, civil partners, to certain property of a deceased person.
Legitim;The legal share (one half or one third, as the case maybe) of a parent's free moveable estate due on death to the children.
Life sentence;A sentence of imprisonment for life. A mimimum period in custody will be set by the court before the prisoner will be considered for release on licence. A life prisoner, if released, will be on licence and subject to recall to prison for the rest of his or her life.
Liferent;The right of a person during his or her life to use and enjoy property.
Liquidation;The procedure for winding up and dissolving a limited company.
Liquidator;The person appointed to collect the assets, adjust and settle claims of creditors of a company in liquidation.
Loco parentis;In place of a parent.
Loco tutoris;In the place of a tutor.
Locus ;Place.
Lord Advocate;The senior Law Officer responsible for the prosecution of crime and investigation of deaths in Scotland, and the principal legal adviser to the Scottish Government. Referred to as "Her Majesty's Advocate" in criminal matters and the "Lord Advocate" in civil matters.
Lord Commissioner of Justiciary;The formal title of a judge of the High Court of Justiciary. The judges of the High Court of Justiciary are also the judges of the Court of Session.
Lord Justice Clerk;The second senior judge in Scotland. He or she presides over the Second Division of the Court of Session.
Lord Justice General of Scotland;The most senior criminal judge, president of the High Court of Justiciary. The position is, in modern times, held by the Lord President of the Court of Session.
Lord of Council and Session;The formal title of a judge sitting as a judge in the Court of Session. The judges of the Court of Session are also the judges of the High Court of Justiciary.
Lord Ordinary;The title of a judge sitting in the Outer House of the Court of Session hearing a case at first instance.
Lord President of the Court of Session;The most senior civil judge, president of the Court of Session and the head of the judiciary. Also holds the position of Lord Justice General.
Mace;An ornamental staff of authority borne by a macer before a judge of the Court of Session or High Court of Justiciary and displayed in his or her court while it is sitting.
Mandatory;(1) A person within the jurisdiction ordered by the court to be responsible for the conduct of a cause on behalf of a party who is not resident in Scotland. A requirement or provision that must be complied with.
Matrimonial home;The home provided by one or both spouses or civil partners and forming a family residence.
Mens rea;Guilty purpose.
Messengers-at-Arms;Officers appointed by the Lord Lyon King of Arms, whose function is to execute civil warrants of the Court of Session, certain warrants of the High Court of Justiciary and warrants of the Court of the Lord Lyon.
Missives;Letters passing between seller and purchaser setting out terms of agreement of the sale of property.
Mora;Undue delay.
Mortis causa;Deeds made in contemplation of death.
Motion;An application made in court for an order during the course of court proceedings.
Moveable Estate;Personal estate.
Multiplepoinding;An action to determine the rights of parties to a fund or property in dispute and to release the holder of the fund from any claim.
Mutatis mutandis;With the necessary alterations. For example, applying one provision to another set of circumstances.
My Lord/My Lady;The proper form of address in court of a judge of the High Court of Justiciary, the Court of Session and the Sheriff Court.
Next of kin;The person(s) nearest in degree to another person; e.g., the nearest ascendant or descendant of a deceased person.
Nobile officium;The noble office or duty of the Court of Session. An equitable jurisdiction in virtue of which the court may, within limits, mitigate the strictness of the law and provide a legal remedy where none exists.
Non-harassment order;An order of court prohibiting a person from conduct specified in the order in relation to another person for a specified period of time or an indefinite period.
Not proven;A verdict or decision of acquittal of an accused person.
Note;(1) A form of application to the court in existing proceedings. (2) A form of appeal. (3) The reasons for a decision attached to an interlocutor in the Sheriff Court.
Note of appeal;The formal document by which an application to appeal is made from a decision of a judge to an appellate court.
Notification requirements;A person convicted of certain sexual offences must be made subject to the notification requirements of the Sexual Offences Act 2003 by which he or she must keep the police informed of address and any change of name for a specified period of time. Sometimes referred to as the "Sex Offenders' Register".
Notional diet;An informal reference to a diet of trial or proof in criminal proceedings at which it is not expected that evidence will be led.
Nullity;Non existent or lacking legal force as applied to acts or writings which are null and void. Also applies to a marriage / civil partnership affected by an inherent defect such as existence of a prior marriage/civil partnership or relationship within a prohibited degree.
Oath;In court proceedings the sworn undertaking by a witness to give truthful evidence.
Obiter dictum;Opinion given incidentally. In other words, the opinion or comment is not the reason for the decision in the case.
Obtemper;To obey, usually of the decree or order of a court.
Opinion;A statement by a court or judge of reasons for the decision in a case. In the Sheriff Court it is called a "Note" and is attached to the interlocutor containing the decision.
Options hearing;A hearing in an ordinary action in the sheriff court to decide the next stage in the case. That could be a continuation of the hearing for up to a month to adjust the pleadings, the fixing of a debate on the law or a proof of the facts.
Order for lifelong restriction (OLR);A person convicted of a serious violent or sexual offence for which the maximum sentence could be life imprisonment where there is a likelihood that if at liberty he or she will seriously endanger the lives or well-being of a member of the public may be placed on such an order. The order consists of a sentence of imprisonment or detention for an indeterminate period. The offender will be subject to a lifelong risk management plan.
Ordinary cause;All sheriff court civil actions other than small claims, summary causes and summary applications, are ordinary actions subject to the Ordinary Cause Rules 1993 in the First Schedule to the Sheriff Courts (Scotland) Act 1907. A claim for &pound;5,000 or more must be by an ordinary action.
Ordinary, Lord;The judge who hears cases at first instance in the Court of Session.
Outer House;The part of the Court of Session which exercises a first instance jurisdiction. The supreme civil court, the Court of Session is divided into the Inner House (which deals mainly with appeals) and the Outer House. The udges in the Outer House deal with cases at first instance, that is cases started in the Court of Session, and also with some appeals from some tribunals.
Panel;(Sometimes "Pannel") The formal name for an accused person. The word "defendant" is not used.
Pari passu;To share and share alike or ranking equally, e.g. in the case of claims or security rights.
Parole;Where an offender is serving a sentence of imprisonment or detention of four years or more (other than a life sentence), he or she is eligible to be released after one half of the sentence on parole. He or she may be subject to conditions for release and may be recalled to prison.
Parole evidence;Oral evidence of witnesses, as distinct from with documentary evidence including affidavit evidence.
Part-time sheriff;A lawyer appointed to act as a sheriff on a part-time basis.
Per incuriam;Through negligence, mistake or error.
Per stirpes;By descent, i.e. through a parent and not in one's own right. (Where per stirpes the share which would have fallen to the predeceasing parent if alive is divided equally among the children).
Perjury;The crime committed by a witness in court proceedings by lying on oath or on an affirmation.
Petition;(1) A writ by which civil court proceedings are initiated in which some administrative order of the court is required for something to be done which requires judicial authority. It is distinct from a summons in an action which is to enforce a legal right against a person (the defender). In the Court of Session civil causes are raised at first instance as either a summons or a petition as the case may be. In the sheriff court all civil proceedings are raised in same way, whether petitions or not, that is by initial writ.
Petition and complaint;The procedure in the Court of Session where the remedy sought is a punishment for failure to obtemper a decree.
Pleading diet;Date assigned for a criminal case to call and for plea to be given, e.g., guilty or not guilty.
Plea-in-law;A short proposition at the end of a written case showing exactly the legal remedy sought.
Precedent;The decision of a court regarded as a source of law or authority in the decision of a later case. .
Precognition;A formal statement of a witness taken or written by another person.
Precognosce;To take a precognition.
Preliminary hearing;A hearing in the High Court of Justiciary in solemn proceedings to decide if the case is ready to go for trial. Also preliminary legal or factual issues may be determined before trial at a preliminary hearing.
Preliminary plea;A plea-in-law that raises a legal issue that does not relate to the merits of the proceedings but if sustained could result in the proceedings or a part of them being dismissed
Pre-proof hearing;A hearing in civil action proceedings to determine whether parties are ready for the proof, whether more or fewer days for proof are required and to establish what the issues are or whether they can be reduced.
President, Lord;The head of the judiciary. He or she presides over the First Division of the Inner House of the Court of Session, the supreme civil court. As Lord Justice General of Scotland he or she is the senior judge of the High Court of Justiciary.
Privitative jurisdiction;All civil proceedings of &pound;5,000 in monetary value exclusive of interest and expenses must be brought in the Sheriff Court. The civil jurisdiction of the Sheriff Court is not restricted to such causes; its jurisdiction extends to causes of any value. Certain types of action are competent only in one or other of the Court of Session or Sheriff Court.
Probation;A form of sentence in criminal proceedings requiring an offender to be supervised by a social worker for a specified period of between six months and three years.
Procedure roll;In the Court of Session, where the legal issues in a civil action are to be considered before proof of the facts, the case is appointed to a debate on the Procedure Roll.
Process;The court papers relating to a cause.
Procurator fiscal;Literally, the procurator for the fiscal or treasury; now the style and title of the public prosecutor in the sheriff court.
Production;An article produced and lodged as evidence in court.
Pro forma;A document used as a form or style.
Pro indiviso;In an undivided state, usually in relation to property held by several persons.
Pro loco et tempore;Without place and time.
Pro non scripto;As not written, that is something is treated as if it had not been written.
Proof;In addition to its general meaning, this word has the formal sense of a hearing of a case by a judge at which evidence is led orally or by affidavit.
Proof before answer;Where evidence is heard on the facts before questions of law are determined, there may be a "proof before answer".
Prorogate;Continue or extend. Where further time is allowed to do something required by the court before the time limit has expired, the time limit is prorogated.
Protective measure;An order preserving money or property in civil proceedings before the case is concluded.
Public guardian;The official responsible for supervising powers and orders in relation to adults with incapacity under the Adults with Incapacity (Scotland) Act 2000.
Punishment part;Where a sentence of life imprisonment is imposed the period before which the offender may be considered for release on licence.
Pursuer;The person suing in a civil action seeking an order against a defender.
QC;Queen's counsel
Quam primum;Forthwith or as soon as possible.
Quantum;How much, the extent. The amount of money sought in a claim for damages.
Quantum valeat;For as much as it is worth.
Quasi;As if; as though.
Queen's counsel;A senior and experienced lawyer on whom the Queen has conferred this honour.
Quoad ultra;As regards everything else. In pleadings, after the averments for the other party have been admitted or dealt with as not know and not admitted, the rest of those pleadings are dealt with. This is usually done by the statement "Quoad ultra, denied." There then follows an explanation as to why the rest of the other party's pleadings are denied.
Receiver;A person appointed to enforce the rights and remedies of the holders of a floating charge over the assets of a company which is in default in relation to the claim or debt which the charge secures.
Record;(The accent is on the second syllable.) The pleadings, that is the averments or statements, of the respective claims and answers by parties ion civil proceedings lodged in court. When finally adjusted between the parties it is closed by order of the court and becomes the Closed Record; up to then it is an "open" record.
Recovery of documents;Where documents are sought to be used to prove a case and are in the possession of another party in the case or some person who is not a party, they may be sought to be recovered by that other person on application to the court. The person who is said to be in possession of the document is called a "haver". A motion for recovery of documents must be accompanied by a document called a specification of documents which sets out the documents or categories of documents sought to be recovered.
Reduction;To annul or set aside a decision or document by legal process.
Register of Inhibitions and Adjudications;(Now just called the Register of Inhibitions, adjudiciations having been abolished.) The Register of Notices of personal diligence which affect the voluntary conveyance of real property.
Register of Sasines;The Register of deeds constituting or transferring rights in land and heritable property.
Relict;A formal term used to refer to a widow or widower in relation to succession to a deceased's estate. .
Remit;The transfer of some matter by one judge to another judge or court; or to a person named as, e.g. to an expert "a man of skill", in order that the latter may inquire and report.
